,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
4195,1957-07-09,1957.0,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,Diving for trochus,M,36,Right hand and arm bitten,N,,9' shark,1957-07-09,1957-07-09,July
4196,1957-06-21,1957.0,Invalid,CUBA,Yucatan Channel,,M.V. Tropical sank. Sole survivor rode oil drums for 8 days without food or water.,,,"No injury, no attack, sharks in vicinity when the sea was calm",,,Invalid,1957-06-21,1957-06-21,June
4197,1957-05-11,1957.0,Unprovoked,AUSTRALIA,New South Wales,"Tea Gardens, north of Newcastle",Competing in spearfishing championship & towing dead fish,M,28,Thigh bitten & few lacerations on abdomen & buttock,N,12h00,4.6 m [15'] shark,1957-05-11,1957-05-11,May
4198,,1957.0,Unprovoked,SOLOMON ISLANDS,,,Fishing,M,,Legs nipped & he bit shark's snout,N,,,1957-05-07,1957-05-07,
4199,1957-05-01,1957.0,Unprovoked,USA,Florida,"8 miles off St. Marks, Wakulla County",3 men & 2 boys picked up wearing life jackets and with inner tube,M,,Leg lacerated,N,,,,,May
4200,1957-04-28,1957.0,Unprovoked,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",Swimming,M,25,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",Y,13h30,White shark,1957-04-28,1957-04-28,April
4201,1957-04-23,1957.0,Unprovoked,AUSTRALIA,New South Wales,"Merewether Beach, Newcastle",Surfing,M,15,Minor injuries,N,,Wobbegong shark?,1957-04-23,1957-04-23,April
4202,1957-04-22,1957.0,Provoked,USA,Florida,"Ormond Beach, Volusia County",Standing,M,17,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,11h00,4 m [13'] shark,1957-04-22,1957-04-22,April
4203,1957-04-13,1957.0,Unprovoked,AUSTRALIA,Torres Strait,"Thursday Island Harbour, Queensland",Swimming between  anchored  pearling luggers,M,22,"Left arm bitten, surgically amputated",N,14h00,Shark seen feeding on turtle scraps thrown overboard prior to incident.,1957-04-13,1957-04-13,April
4204,1957-04-07,1957.0,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),Kieta,Diving from canoe,M,17,Injured while Sonieva was transferred to another canoe,N,,,,,April
4205,1957-04-07,1957.0,Unprovoked,SOLOMON ISLANDS,Bougainville (North Solomons),Kieta,Diving from canoe,M,15,Leg severed,N,,,,,April
4206,1957-02-24,1957.0,Unprovoked,FIJI,Viti Levu,Suva Harbor,Spearfishing,M,,Right arm & forearm injured,N,,,1957-02-24,1957-02-24,February
4207,1957-02-05,1957.0,Unprovoked,USA,Florida,"South Beach, Fort Pierce, St Lucie County",Floating,M,,Foot bitten,N,15h30,1.2 m  [4'] shark,1957-02-05,1957-02-05,February
4208,1957-02-02,1957.0,Unprovoked,AUSTRALIA,Western Australia,Cape Levêque,,M,,Man landed at Cape Levêque lighthouse in critical condition after being bitten by a shark. Not known if he survived.,UNKNOWN,,,1957-02-02,1957-02-02,February
4209,1957-02-01,1957.0,Unprovoked,USA,Florida,Florida Keys,Skindiving for specimens,M,,Minor injuries,N,,Said to involve a large mako shark,,,February
4210,1957-01-05,1957.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umgeni River Mouth,Wading,M,12,FATAL,Y,,,1957-01-05,1957-01-05,January
4211,1957-01-01,1957.0,Invalid,SRI LANKA,Western Province,Colombo Harbor,Fishing,M,,"FATAL, but shark involvement not confirmed",,,Shark involvement prior to death was not confirmed,,,January
4212,1957-01-01,1957.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County",Bathing,,,Injured by shark,N,,1.5 m [5'] shark,,,January
4213,1957-01-01,1957.0,Invalid,CUBA,Havana Province,Cojimar,,,2 to 3 months,"FATAL, but was it an accident or infanticide?",,,3.7 m [12'] shark,,,January
4214,1957-01-01,1957.0,Boat,CUBA,Havana Province,Cojimar,Fishing,,,"No injury to occupant, shark stuck boat",N,,3.7 m [12'] shark ,,,January
4215,1957-01-01,1957.0,Unprovoked,CUBA,Havana Province,Havana,Fishing for sharks,M,18,"FATAL, became entangled in fishing line and pulled below the surface ",Y,,,,,January
4216,1957-01-01,1957.0,Unprovoked,USA,Florida,"Miami, Miami-Dade County",Helmet diving in Miami Seaquarium,M,,"Shark struck helmet, no injury",N,,Bull shark,,,January
4217,1957-01-01,1957.0,Unprovoked,FIJI,Kadavu,Great Astrolabe Reef,Fishing,M,30,Right foot lacerated,N,,,,,January
4218,1957-01-01,1957.0,Unprovoked,IRAN,Karun River,"near Band Misan in Shustar, 420 km from the sea",,M,,Survived,N,,Bull shark,,,January
4219,1957-01-01,1957.0,Unprovoked,PAPUA NEW GUINEA,"Abau Subdistrict,Central Province",Mailu area  ,Fishing,M,,"FATAL, multiple injuries ",Y,,,,,January
4220,1957-01-01,1957.0,Unprovoked,IRAN,Karun River,Hesamabad,,M,,Survived,N,,Bull shark,,,January
4221,1957-01-01,1957.0,Unprovoked,PAPUA NEW GUINEA,"New Britain, Bismarck Archipelago",Duke of York Island,Dynamiting fish,M,,FATAL,Y,,,,,January
4222,1956-12-26,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island (south end),Spearfishing,M,19,"FATAL, left leg severed at hip, left torso removed ",Y,13h00,2.4 m [8'] tiger shark caught 40 hours later with shorts of the boy in its gut,1956-12-26,1956-12-26,December
4223,1956-12-24,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Samarai Island,Spearfishing,M,16,"FATAL, left arm, shoulder & chest bitten ",Y,12h00,,1956-12-24,1956-12-24,December
4224,,1956.0,Unprovoked,GABON,Estuaire Province,Owendo,Swimming,M,,FATAL,Y,,,,,
4225,1956-12-09,1956.0,Provoked,NEW ZEALAND,North Island,North Auckland,Fishing,M,70,Bitten in cockpit of boat by shark caught 30 minutes earlier PROVOKED INCIDENT,N,,"Mako shark, 125-lb ",1956-12-09,1956-12-09,December
4226,1956-10-27,1956.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Free diving for sinkers,M,29,Right heel lacerated & swim fin removed by shark,N,,"White shark, according to witnesses",1956-10-27,1956-10-27,October
4227,1956-10-20,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Kapakapa ,"Spearfishing, holding 5' speared fish",M,,"Left forearm & hand bitten, surgically amputated ",N,,3.7 m [12'] shark,1956-10-20,1956-10-20,October
4228,1956-10-07,1956.0,Unprovoked,SENEGAL,"Near Dakar, Cap Vert Peninsula",Isle de Gorée,"Skindiving, fish at belt",M,19,Right thigh bitten,N,18h15,Lemon shark,1956-10-07,1956-10-07,October
4229,1956-10-01,1956.0,Unprovoked,PAPUA NEW GUINEA,,Port Moresby,Fishing,M,,FATAL,Y,,,,,October
4230,1956-09-23,1956.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surf fishing,M,27,Posterior left ankle bitten,N,,a sand shark,1956-09-23,1956-09-23,September
4231,1956-09-13,1956.0,Unprovoked,,Near the Andaman & Nicobar Islands,,Climbing back on ship,M,,FATAL,Y,P.M.,Blue shark,1956-09-13,1956-09-13,September
4232,1956-09-01,1956.0,Unprovoked,MAYOTTE,Mozambique Channel,,Fishing,M,,FATAL,Y,,Tiger shark,,,September
4233,1956-09-01,1956.0,Unprovoked,ITALY,Tyrrenian Sea,1.5 miles south of  San Felice Circeo ,Scuba diving,M,,Survived,N,,"White shark, 13'10"", 1320-lb female ",,,September
4234,1956-08-25,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",Fishing ,M,34,"FATAL, tissue removed from abdomen & thigh  ",Y,,4.3 m [14'] shark,1956-08-25,1956-08-25,August
4235,1956-08-20,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Paga Point, Port Moresby ",Fishing,M,,"Leg bitten, but survived",N,,,1956-08-20,1956-08-20,August
4236,,1956.0,Unprovoked,USA,Puerto Rico,North coast,Skin diving,M,13,FATAL,Y,,,,,
4237,1956-08-15,1956.0,Provoked,AUSTRALIA,Queensland,Near Southport,Diving,M,,Laceration to arm when his dive buddy grabbed the shark PROVOKED INCIDENT,N,,"Wobbegong shark, 4' ",,,August
4238,1956-08-15,1956.0,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Swimming near pier,M,10,"Lacerated thigh, hand & shoulder",N,16h30,"White shark, 2.7 m [9'] ",,,August
4239,1956-08-01,1956.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Chain Rocks, Amanzimtoti",Free diving for crayfish,M,23,"No injury, right swim fin bitten",N,Afternoon,,1956-08-01,1956-08-01,August
4240,1956-08-01,1956.0,Provoked,UNITED KINGDOM,Cornwall,The Lizard,Attempting to kill a shark with explosives,M,,"FATAL, PROVOKED INCIDENT",Y,,,,,August
4241,1956-08-01,1956.0,Provoked,UNITED KINGDOM,Cornwall,The Lizard,Attempting to kill a shark with explosives,M,,"FATAL, PROVOKED INCIDENT",Y,,,,,August
4242,1956-08-01,1956.0,Boat,MALTA,Congreve Channel,between Filfla Island and Wied iz-Zurrieq,Fishing,,,"No injury to occupants, but Emmanuel ""later died of shock in hospital""",N,,Porbeagle or white shark,,,August
4243,1956-08-01,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Yule Island,Fishing,M,,"Leg severed, but survived",N,,,,,August
4244,1956-08-01,1956.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Fisherman's Island, near Port Moresby",Fishing,M,,Leg & foot lacerated,N,,2.3 m [7'] shark,,,August
4245,1956-07-28,1956.0,Provoked,USA,Puerto Rico,Aquadilla,Floating in inner tube,M,13,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,10h30,,1956-07-28,1956-07-28,July
4246,1956-07-26,1956.0,Provoked,USA,California,"Van Ness Municipal Pier, San Francisco",Fishing,M,38,Finger bitten by hooked shark PROVOKED INCIDENT,N,,8-lb shark,1956-07-26,1956-07-26,July
4247,1956-07-20,1956.0,Unprovoked,MALTA,St. Thomas Bay,Marsascala,Swimming,M,40,FATAL,Y,,White shark,1956-07-20,1956-07-20,July
4248,1956-07-17,1956.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Wading,F,38,Lacerations to legs,N,18h00,,1956-07-17,1956-07-17,July
4249,1956-07-12,1956.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,7,Arm & leg injured,N,15h00j,,1956-07-12,1956-07-12,July
4250,1956-06-28,1956.0,Unprovoked,AUSTRALIA,Torres Strait,"Fishman's Island (near Port Moresby, PNG) ","Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",M,,"6"" gashes in foot & leg ",N,,2.3 m [7'] shark,1956-06-28,1956-06-28,June
4251,1956-06-22,1956.0,Boating,PORTUGAL,Madeira,Off Funchal,Longling fishing,M,23,"FATAL. Shark sank fishing boat, causing death by drowning",Y,,,1956-06-22,1956-06-22,June
4252,1956-06-20,1956.0,Sea Disaster,MID ATLANTIC OCEAN,,Venezuelan aircraft lost,Air/Sea Disaster,,,FATAL x 6,Y,,,1956-06-20,1956-06-20,June
4253,,1956.0,Boating,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,,,"No injury, sharks bit propellers, etc",N,,White shark,,,
4254,1956-05-07,1956.0,Unprovoked,CUBA,,,"Free diving, working on U/W scenes for motion picture",M,30,FATAL,Y,,,1956-05-07,1956-05-07,May
4255,1956-05-01,1956.0,Unprovoked,AUSTRALIA,Torres Strait,,Diving,,,"""Badly bitten by shark""",N,,,,,May
4256,1956-03-25,1956.0,Boating,ITALY,Ligurian Sea,"Genova, S. Nazaro, Punta Vagno",Boating,,,No details,UNKNOWN,,Said to involve a 7 m [23'] white shark,1956-03-25,1956-03-25,March
4257,1956-03-11,1956.0,Unprovoked,AUSTRALIA,New South Wales,"Cronulla, near Sydney",Bathing,M,13,"Right thigh gashed, swim fin torn",N,,,1956-03-11,1956-03-11,March
4258,1956-03-04,1956.0,Unprovoked,AUSTRALIA,Victoria,"Portsea Beach, near entrance to Port Phillip Bay","Swimming, attacked at  surf carnival",M,26,FATAL,Y,16h45,3.7 m [12'] shark & may have been another shark nearby,1956-03-04,1956-03-04,March
4259,1956-03-01,1956.0,Unprovoked,AUSTRALIA,Western Australia,Fremantle,Attempting to set underwater endurance record,M,21,"No injury to diver, but shark bit hole in his wetsuit",N,,,,,March
4260,1956-02-26,1956.0,Unprovoked,AUSTRALIA,Queensland,Pioneer River near Mackay,Diving into water,M,15,"FATAL, large amount of tissue removed from leg, artery severed  ",Y,11h00,1.8 m [6'] shark,1956-02-26,1956-02-26,February
4261,,1956.0,Unprovoked,AUSTRALIA,Victoria,Cowes,Swimming,M,8,Punctures to calves,N,,,,,
4262,,1956.0,Unprovoked,AUSTRALIA,Torres Strait,Palm Island,Diving for trochus,M,18,Lacerations to thighs,N,,,,,
4263,1956-01-16,1956.0,Unprovoked,COSTA RICA,,San Juan River,Swimming,M,33,"FATAL, leg severed ",Y,,,1956-01-16,1956-01-16,January
4264,1956-01-05,1956.0,Unprovoked,AUSTRALIA,New South Wales,North Bondi,Surf skiing,M,25,"No injury, shark bumped his 17' ski",N,,5' to 6' shark,1956-01-05,1956-01-05,January
4265,1956-01-01,1956.0,Unprovoked,PAPUA NEW GUINEA,Madang Province,"Singour, 60 miles south of Madang",Diving,M,,Lower leg & foot lacerated,N,,,,,January
4266,1956-01-01,1956.0,Sea Disaster,,Between Comores & Madagascar,Geyser Bank,Shipwreck,M,,FATAL,Y,,,,,January
4267,1956-01-01,1956.0,Unprovoked,GREECE,Corfu Island,Kérkira,Swimming off yacht,F,15,FATAL,Y,,White shark,,,January
4268,1956-01-01,1956.0,Provoked,USA,Virginia,"Virginia Beach, Princess Anne County",Removing shark from net ,M,,Punctures on shin & calf PROVOKED INCIDENT,N,,40-lb sand shark,,,January
4269,1956-01-01,1956.0,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,F,14,No details,UNKNOWN,,,,,January
4270,1956-01-01,1956.0,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,"Kimuta, Renard Island",,,,"Non-fatal, treated at Misima Hospital",N,,,,,January
4271,1956-01-01,1956.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Hus Island ,,M,,Right calf bitten,N,,,,,January
4272,1956-01-01,1956.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Enuk Island ,,M,,"FATAL, head & neck bitten  ",Y,,,,,January
4273,,1955.0,Boating,AUSTRALIA,Tasmania,,Ocean racing,,,"No injury to occupants, shark gouged hull",N,,,1955-12-31,1955-12-31,
4274,1955-12-11,1955.0,Boating,USA,Florida,½ mile offshore & 9 miles north of Fort Pierce,Fishing for pompano,,,"No injury to occupants, shark released from net holed boat",N,,,1955-12-11,1955-12-11,December
4275,1955-11-16,1955.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Kalautu Village, Baibara at the mouth of Oibada River",Swimming,M,8,Right thigh bitten,N,18h00,Wobbegong shark,1955-11-16,1955-11-16,November
4276,1955-11-01,1955.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Low Island, Manus",Spearfishing,M,,Right arm severely bitten,N,,,,,November
4277,1955-10-16,1955.0,Provoked,AUSTRALIA,Queensland,"Tully, North Queensland",Spearfishing & lassoed shark,M,28,Lassoed shark bit his hand PROVOKED INCIDENT,N,,6' shark,1955-10-16,1955-10-16,October
4278,1955-09-23,1955.0,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",M,,FATAL,Y,,Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,,,September
4279,1955-09-23,1955.0,Sea Disaster,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,"""Flying Tiger"" transport plane went down with 5 men onboard",M,,Bitten several times before being rescued after 43 hours in the sea by the freighter Stell Advocate,N,,"Survivors said 2 species of sharks were involved:  oceanic whitetip sharks and another species,",,,September
4280,1955-09-20,1955.0,Unprovoked,USA,Hawaii,East Moloka'i,Hunting turtle,M,,Arm bitten,N,09h00,,1955-09-20,1955-09-20,September
4281,1955-09-04,1955.0,Unprovoked,USA,California,"Venice Beach, Los Angeles County",Swimming near breakwater,M,16,Dorsum of right foot lacerated,N,,,1955-09-04,1955-09-04,September
4282,1955-09-03,1955.0,Unprovoked,USA,California,"Venice Beach, Los Angeles County",,M,,Minor injury,N,,,1955-09-03,1955-09-03,September
4283,1955-08-30,1955.0,Unprovoked,JAPAN,Izo Islands,"Mikura-jima Island, 150 miles south of Tokyo",Fishing,M,,FATAL,Y,,,,,August
4284,1955-08-30,1955.0,Provoked,USA,California,"Zuma Beach, Santa Monica, Los Angeles County",Surfing,M,25,"Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,,5' thresher or blue shark. The shark  was killed following the incident,,,August
4285,1955-08-26,1955.0,Unprovoked,CROATIA, Primorje-Gorski Kotar County,Opatija,Swimming,F,32,FATAL,Y,,White shark,1955-08-26,1955-08-26,August
4286,1955-08-08,1955.0,Unprovoked,AMERICAN SAMOA,Tutuila Island,Pago Pago Bay,Swimming,M,28,"FATAL, abdomen bitten  ",Y,A.M.,Blue shark,1955-08-08,1955-08-08,August
4287,,1955.0,Provoked,USA,South Carolina,Windy Hill Beach,Fishing,M,,Finger bitten by hooked shark PROVOKED INCIDENT,N,,"""a small shark""",,,
4288,1955-08-01,1955.0,Unprovoked,NORTH ATLANTIC OCEAN ,Open sea,,Treading water,M,15,No injury,N,Early afternoon,,,,August
4289,1955-08-01,1955.0,Boating,AUSTRALIA,South Australia,Port Augusta,Fishing,,,Whelan's head was injured when he fell to the deck as shark rammed boat,N,,Tooth fragments recovered from hull,,,August
4290,1955-07-25,1955.0,Unprovoked,JAPAN,Okayama Prefecture,Usimado-no-Seto,,M,22,FATAL,Y,13h00,Blue shark,1955-07-25,1955-07-25,July
4291,1955-06-23,1955.0,Unprovoked,USA,Rhode Island,Occupasstuxet  (Patuxent) Cove,Wading,M,13,Bites on legs & thighs,N,,0.7 m [2.5'] sand shark,1955-07-23,1955-07-23,June
4292,1955-07-15,1955.0,Unprovoked,MONTENEGRO,Adriatic Sea,Budva,Swimming,M,,FATAL,Y,,"White shark, 6.5 m ",1955-07-15,1955-07-15,July
4293,1955-07-07,1955.0,Unprovoked,YEMEN,Aden,Telegraph Bay,Swimming,F,,"FATAL, back lacerated, arm & leg severed  ",Y,,2.4 m [8']  shark,1955-07-07,1955-07-07,July
4294,1955-05-08,1955.0,Provoked,USA,California,"Malibu, Los Angeles County",Spearfishing,M,28,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,,2 m [6.75'] shark,1955-05-08,1955-05-08,May
4295,1955-05-01,1955.0,Unprovoked,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Lou Island, south of Manus Island",Spearfishing,M,,"Right forearm severely lacerated, left arm & hand lacerated",N,Midday.,,,,May
4296,,1955.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hadrians (Haidana?) Island, near Port Moresby",Spearfishing or fishing,M,,Left shoulder bitten,N,,6' shark,,,
4297,1955-04-12,1955.0,Unprovoked,PAPUA NEW GUINEA,,Abau,Spearfishing,M,,No injury. Shark took string of fish then struck canoe,N,,6' shark,1955-04-12,1955-04-12,April
4298,1955-04-01,1955.0,Unprovoked,USA,Hawaii,"Hilo, Hawai'i","Fishing from boat, Kaimamla",M,,Hand bitten,N,,,,,April
4299,1955-03-09,1955.0,Unprovoked,AUSTRALIA,New South Wales,Wamberal,Body surfing,M,22,FATAL,Y,18h00,,1955-03-09,1955-03-09,March
4300,1955-03-01,1955.0,Unprovoked,PAPUA NEW GUINEA,"New Ireland, Bismarck Archipelago","Kabiman, West coast",Swimming with speared fish,M,,Left leg bitten,N,,"""small brown-colored shark""",,,March
4301,1955-03-01,1955.0,Provoked,AUSTRALIA,Western Australia,Woodmans Point,"Competing in U/W endurance record, standing beside drum in 10' of water",M,25,Leg of wetsuit torn after spear fired at shark  PROVOKED INCIDENT,N,11h55,,,,March
4302,1955-02-10,1955.0,Unprovoked,USA,California,"Trinidad Bay, Humboldt County",Scuba diving,M,,"No injury, shark bumped diver's face",N,,"Leopard shark, 3' Triakis semifasciata, identified by J.W. DeWitt (1955)",1955-02-10,1955-02-10,February
4303,1955-02-06,1955.0,Unprovoked,USA,California,"Pacific Grove, Monterey County",Spearfishing,M,19,"Swimfin & 2 wool socks removed by shark, suit torn",N,12h00,"White shark, 5 m to 6 m [16.5' to 20] ",1955-02-06,1955-02-06,February
4304,1955-02-05,1955.0,Unprovoked,AUSTRALIA,New South Wales,"Sugarloaf Bay, Middle Harbor, Sydney",Swimming,M,25,"FATAL, legs bitten ",Y,14h35,3.6 m  white shark  (or bronze whaler),1955-02-05,1955-02-05,February
4305,1955-02-04,1955.0,Unprovoked,INDIA,Tamil Nadu,"Vanagiri, Madras (Chennai), Bay of Bengal",Fishing,M,25,Leg bitten,N,,,1955-02-04,1955-02-04,February
4306,1955-02-01,1955.0,Boating,AUSTRALIA,New South Wales,Parramatta River,Rowing,,,"No injury to occupants; shark grabbed oar, vaulted over scull",N,,,1955-02-01,1955-02-01,February
4307,1955-02-01,1955.0,Boating,AUSTRALIA,New South Wales,Coffs Harbor,Rowing toward snapper grounds,,,"No injury to occupants, 6 sharks charged boat",N,,4 m [13'] shark x 6,,,February
4308,1955-01-17,1955.0,Unprovoked,AUSTRALIA,New South Wales,"Wyargine Point, Edwards Beach, Balmoral Beach, Sydney",Hunting lobsters in 2.4 m of water,M,13,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y,14h30,"Bronze whaler shark,3.7 m [12'] ",1955-01-17,1955-01-17,January
4309,1955-01-15,1955.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,A ford known as Brodies Coffin in St. Lucia Bay,Crossing the bay at the ford,M,,"FATAL, leg bitten ",Y,Afternoon,,1955-01-15,1955-01-15,January
4310,1955-01-01,1955.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,,,No details,UNKNOWN,,,,,January
4311,1955-01-01,1955.0,Provoked,CUBA,Havana Province,Cojimar,Fishing,M,,Forearm slashed wrist to elbow by hooked shark he was trying to club to death  PROVOKED INCIDENT,N,,"""a little shark""",,,January
4312,1955-01-01,1955.0,Unprovoked,MADAGASCAR,18S / 50E,,Standing in knee-deep water,M,16,FATAL,Y,15h00,,,,January
4313,1955-01-01,1955.0,Invalid,USA,Illinois,Chicago (Lake Michigan),Swimming,M,,Right leg allegedly bitten by a bull shark,,,Questionable incident,,,January
4314,,1955.0,Unprovoked,COLUMBIA,Isles del Rosario,Southwest of Cartegena,Spearfishing,M,12,Swim fin & foot bitten,N,,1.5 m [5'] shark,,,
4315,1955-01-01,1955.0,Unprovoked,PAPUA NEW GUINEA,New Ireland,Lavongai,,M,,Back bitten,N,,,,,January
4316,1954-12-29,1954.0,Unprovoked,AMERICAN SAMOA,Tutuila Island,Near tuna cannery in Pago Pago Harbor,Dived overboard & was swimming near stern of trawler,M,27,FATAL,Y,,,1954-12-29,1954-12-29,December
4317,1954-12-11,1954.0,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Swimming,M,23,FATAL,Y,11h00,,1954-12-11,1954-12-11,December
4318,1954-12-09,1954.0,Unprovoked,PAPUA NEW GUINEA,Central Province,"Kila Beach, Port Moresby",Swimming near canoe,M,,"FATAL, abdomen & thigh bitten",Y,13h20,,1954-12-09,1954-12-09,December
4319,1954-12-04,1954.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Swimming,M,16,Shallow lacerations on torso,N,11h00,,1954-12-04,1954-12-04,December
4320,1954-11-20,1954.0,Unprovoked,USA,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,M,,Shoulder bitten,N,15h00,"Blacktip reef shark, 1.5 m [5'] ",1954-11-20,1954-11-20,November
4321,1954-10-07,1954.0,Sea Disaster,USA,Virginia,150 miles off Cape Henry,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a mans leg & another reported that the second cook was killed by a shark,Y,,,1954-10-07,1954-10-07,October
4322,1954-10-06,1954.0,Provoked,UNITED KINGDOM,Isle of Man,Off Fleetwood,Fishing  (trawling),M,62,Arm broken by tail of netted shark PROVOKED INCIDENT,N,,20' shark,1954-10-06,1954-10-06,October
4323,1954-10-02,1954.0,Boating,CROATIA,Zadar County,"Lika-Senj, Pag Island",Boating,,,No details,UNKNOWN,,"White shark, 5.5 m [18']",,,October
4324,1954-10-02,1954.0,Invalid,JAPAN,Nagasaki Prefecture,Oomura Bay,,M,13,Body found in gut of 2000-lb white shark,,,Shark involvement prior to death was not confirmed,,,October
4325,1954-09-21,1954.0,Unprovoked,USA,California,"La Jolla, San Diego County",Swimming,M,35,Minor bruises & abrasions on leg,N,,1.5 m [5'] shark,1954-09-21,1954-09-21,September
4326,1954-09-15,1954.0,Unprovoked,HONG KONG,,Junk Bay,Swimming,M,20,"FATAL, leg severely bitten",Y,,,1954-09-15,1954-09-15,September
4327,1954-09-04,1954.0,Unprovoked,AUSTRALIA,Torres Strait,"Darnley Island, Torres Strait","Spearfishing, hunting crayfish",M,35,"FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y,,9' shark,1954-09-04,1954-09-04,September
4328,,1954.0,Unprovoked,ITALY,Liguaria,Finale Ligure,Spearfishing,M,27,Abdomen injured,N,,,1954-08-19,1954-08-19,
4329,1954-08-12,1954.0,Provoked,CUBA,Guantanamo Province,Boqueron,Spearfishing,M,,Knee bitten by shark that his dive buddy had shot  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",,,August
4330,1954-08-12,1954.0,Provoked,CUBA,Guantanamo Province,Boqueron,Spearfishing,M,,Right thigh & left calf injured by speared shark  PROVOKED INCIDENT,N,,"Nurse shark, 58"", 34-lb ",,,August
4331,1954-07-30,1954.0,Unprovoked,ECUADOR,Galapagos Islands,,"Tuna fishing, standing on stern platform that was submerged by waves",M,34,4 lacerations on dorsum of right foot ,N,,,1954-07-30,1954-07-30,July
4332,1954-07-28,1954.0,Unprovoked,SINGAPORE,,Singapore Harbor,Closed circuit diving (submerged). Diving to recover jettisoned packets of opium for police,M,28,"FATAL, abdomen, buttock, right thigh & hands bitten ",Y,,,1954-07-28,1954-07-28,July
4333,1954-07-27,1954.0,Boating,ITALY,Venice Province,Off Chioggia,Fishing trawler Flavio Gioia ,M,,No injury to occupants. Shark tore nets & trawl and struck boat repeatedly,,Night,5m shark,1954-07-27,1954-07-27,July
4334,1954-07-15,1954.0,Unprovoked,THE BALKANS,Slovenia,Between Punta Grossa & Koper,Swimming,M,,FATAL,Y,21h00,,1954-07-15,1954-07-15,July
4335,,1954.0,Unprovoked,USA,Florida,Florida Keys,,,,Small wound on upper thigh,N,,"Nurse shark, 2.5' ",,,
4336,1954-07-03,1954.0,Unprovoked,BERMUDA,South shore ,Elbow Beach,Swimming,M,22,"Left thigh bitten, chest lacerated  & defense wounds on foot, fingers and hands",N,,"2.4 m [8'] shark, possibly a dusky shark",1954-07-03,1954-07-03,July
4337,,1954.0,Unprovoked,GREECE,,Kalamata,Swimming,M,,FATAL,Y,,,,,
4338,,1954.0,Invalid,CROATIA,,Pula,,,,Human remains found in shark,,,Shark involvement prior to death was not confirmed,,,
